Date de décès;Code du lieu de décès;Numéro d'acte de décès
20160121;30189;170
19790925;59606;1407
19731101;75113;3327
20210407;67482;1381
20210317;76540;805
20210420;92072;97
20200318;92024;201
20191027;75112;1632
20201022;69388;946
20150406;75115;1161
20131002;38053;516
20200410;34172;1271
20191030;72181;52
20190515;25056;918
20200128;88209;15
20110827;74025;6
20210826;69029;826
20210705;14118;1732
20110505;69152;365
20210517;95277;377
20210914;67482;3182
20211022;75113;2374
20210902;62193;852
20100215;19031;153
20200627;22360;44
20060302;93047;157
20211015;29019;2138
20211025;95277;689
20181017;93047;782
20211001;92026;506
20210717;75119;742
20210708;92023;757
20060117;91589;4
20060117;93029;43
20210904;75114;1871
20201004;99131;396
20210622;75115;1944
20211009;77431;73
20191012;75113;1971
20181113;82121;1118
20211102;66053;61
20210814;95580;15
20201124;08105;1095
20210919;13209;981
20211119;29019;2398
20210921;92026;494
