"dep";"an_sem";"clage_covid_dc65";"cat_zscore"
"2A";"2020-S11";"A";"2"
"2A";"2020-S12";"A";"2"
"2A";"2020-S13";"A";"1"
"2A";"2020-S14";"A";"2"
"2A";"2020-S11";"0";"1"
"2A";"2020-S12";"0";"2"
"2A";"2020-S13";"0";"1"
"2A";"2020-S14";"0";"2"
"2B";"2020-S11";"A";"1"
"2B";"2020-S12";"A";"1"
"2B";"2020-S13";"A";"1"
"2B";"2020-S14";"A";"1"
"2B";"2020-S11";"0";"1"
"2B";"2020-S12";"0";"1"
"2B";"2020-S13";"0";"1"
"2B";"2020-S14";"0";"1"
"01";"2020-S11";"A";"1"
"01";"2020-S12";"A";"1"
"01";"2020-S13";"A";"1"
"01";"2020-S14";"A";"1"
"01";"2020-S11";"0";"1"
"01";"2020-S12";"0";"1"
"01";"2020-S13";"0";"1"
"01";"2020-S14";"0";"1"
"02";"2020-S11";"A";"1"
"02";"2020-S12";"A";"2"
"02";"2020-S13";"A";"1"
"02";"2020-S14";"A";"4"
"02";"2020-S11";"0";"1"
"02";"2020-S12";"0";"2"
"02";"2020-S13";"0";"2"
"02";"2020-S14";"0";"4"
"03";"2020-S11";"A";"1"
"03";"2020-S12";"A";"1"
"03";"2020-S13";"A";"1"
"03";"2020-S14";"A";"1"
"03";"2020-S11";"0";"1"
"03";"2020-S12";"0";"1"
"03";"2020-S13";"0";"1"
"03";"2020-S14";"0";"1"
"04";"2020-S11";"A";"2"
"04";"2020-S12";"A";"1"
"04";"2020-S13";"A";"1"
"04";"2020-S14";"A";"1"
"04";"2020-S11";"0";"2"
"04";"2020-S12";"0";"1"
"04";"2020-S13";"0";"1"
"04";"2020-S14";"0";"1"
"05";"2020-S11";"A";"1"
"05";"2020-S12";"A";"1"
"05";"2020-S13";"A";"1"
"05";"2020-S14";"A";"1"
"05";"2020-S11";"0";"1"
"05";"2020-S12";"0";"1"
"05";"2020-S13";"0";"1"
"05";"2020-S14";"0";"1"
"06";"2020-S11";"A";"1"
"06";"2020-S12";"A";"2"
"06";"2020-S13";"A";"1"
"06";"2020-S14";"A";"2"
"06";"2020-S11";"0";"1"
"06";"2020-S12";"0";"2"
"06";"2020-S13";"0";"2"
"06";"2020-S14";"0";"2"
"07";"2020-S11";"A";"1"
"07";"2020-S12";"A";"1"
"07";"2020-S13";"A";"1"
"07";"2020-S14";"A";"2"
"07";"2020-S11";"0";"1"
"07";"2020-S12";"0";"1"
"07";"2020-S13";"0";"1"
"07";"2020-S14";"0";"2"
"08";"2020-S11";"A";"1"
"08";"2020-S12";"A";"1"
"08";"2020-S13";"A";"1"
"08";"2020-S14";"A";"1"
"08";"2020-S11";"0";"1"
"08";"2020-S12";"0";"1"
"08";"2020-S13";"0";"1"
"08";"2020-S14";"0";"1"
"09";"2020-S11";"A";"1"
"09";"2020-S12";"A";"1"
"09";"2020-S13";"A";"1"
"09";"2020-S14";"A";"1"
"09";"2020-S11";"0";"1"
"09";"2020-S12";"0";"1"
"09";"2020-S13";"0";"1"
"09";"2020-S14";"0";"1"
"10";"2020-S11";"A";"1"
"10";"2020-S12";"A";"1"
"10";"2020-S13";"A";"2"
"10";"2020-S14";"A";"1"
"10";"2020-S11";"0";"1"
"10";"2020-S12";"0";"1"
"10";"2020-S13";"0";"2"
"10";"2020-S14";"0";"1"
"11";"2020-S11";"A";"2"
"11";"2020-S12";"A";"2"
"11";"2020-S13";"A";"1"
"11";"2020-S14";"A";"1"
"11";"2020-S11";"0";"1"
"11";"2020-S12";"0";"1"
"11";"2020-S13";"0";"1"
"11";"2020-S14";"0";"1"
"12";"2020-S11";"A";"1"
"12";"2020-S12";"A";"1"
"12";"2020-S13";"A";"1"
"12";"2020-S14";"A";"1"
"12";"2020-S11";"0";"1"
"12";"2020-S12";"0";"1"
"12";"2020-S13";"0";"1"
"12";"2020-S14";"0";"1"
"13";"2020-S11";"A";"1"
"13";"2020-S12";"A";"1"
"13";"2020-S13";"A";"1"
"13";"2020-S14";"A";"2"
"13";"2020-S11";"0";"1"
"13";"2020-S12";"0";"1"
"13";"2020-S13";"0";"1"
"13";"2020-S14";"0";"1"
"14";"2020-S11";"A";"1"
"14";"2020-S12";"A";"1"
"14";"2020-S13";"A";"1"
"14";"2020-S14";"A";"1"
"14";"2020-S11";"0";"1"
"14";"2020-S12";"0";"1"
"14";"2020-S13";"0";"1"
"14";"2020-S14";"0";"1"
"15";"2020-S11";"A";"1"
"15";"2020-S12";"A";"1"
"15";"2020-S13";"A";"1"
"15";"2020-S14";"A";"1"
"15";"2020-S11";"0";"1"
"15";"2020-S12";"0";"2"
"15";"2020-S13";"0";"1"
"15";"2020-S14";"0";"1"
"16";"2020-S11";"A";"1"
"16";"2020-S12";"A";"1"
"16";"2020-S13";"A";"1"
"16";"2020-S14";"A";"1"
"16";"2020-S11";"0";"1"
"16";"2020-S12";"0";"1"
"16";"2020-S13";"0";"1"
"16";"2020-S14";"0";"1"
"17";"2020-S11";"A";"1"
"17";"2020-S12";"A";"1"
"17";"2020-S13";"A";"1"
"17";"2020-S14";"A";"1"
"17";"2020-S11";"0";"1"
"17";"2020-S12";"0";"1"
"17";"2020-S13";"0";"1"
"17";"2020-S14";"0";"1"
"18";"2020-S11";"A";"1"
"18";"2020-S12";"A";"1"
"18";"2020-S13";"A";"1"
"18";"2020-S14";"A";"2"
"18";"2020-S11";"0";"1"
"18";"2020-S12";"0";"1"
"18";"2020-S13";"0";"1"
"18";"2020-S14";"0";"2"
"19";"2020-S11";"A";"1"
"19";"2020-S12";"A";"1"
"19";"2020-S13";"A";"1"
"19";"2020-S14";"A";"1"
"19";"2020-S11";"0";"1"
"19";"2020-S12";"0";"1"
"19";"2020-S13";"0";"1"
"19";"2020-S14";"0";"1"
"21";"2020-S11";"A";"1"
