dep;sexe;jour;n_tot_dose1;n_tot_complet;n_tot_rappel;couv_tot_dose1;couv_tot_complet;couv_tot_rappel
01;1;2022-01-13;230697;227989;130300;71.3;70.5;40.3
01;2;2022-01-13;243269;240693;144728;72.9;72.1;43.4
02;1;2022-01-13;199406;195775;112549;77.6;76.2;43.8
02;2;2022-01-13;212487;209462;129245;79.0;77.8;48.0
03;1;2022-01-13;126475;124901;78722;79.9;78.9;49.8
03;2;2022-01-13;139563;138033;92347;80.6;79.7;53.3
04;1;2022-01-13;56547;55209;32025;70.1;68.5;39.7
04;2;2022-01-13;60431;59128;36072;71.4;69.9;42.6
05;1;2022-01-13;52461;51223;30283;75.8;74.0;43.7
05;2;2022-01-13;55293;54324;33551;76.2;74.9;46.3
06;1;2022-01-13;397178;387883;232366;78.0;76.1;45.6
06;2;2022-01-13;443873;434458;271968;77.9;76.2;47.7
07;1;2022-01-13;117858;116065;69446;73.8;72.7;43.5
07;2;2022-01-13;125765;124042;78227;75.2;74.2;46.8
08;1;2022-01-13;101700;99964;61357;78.7;77.4;47.5
08;2;2022-01-13;108532;107036;69593;79.6;78.5;51.0
09;1;2022-01-13;54432;53195;31691;72.8;71.2;42.4
09;2;2022-01-13;58062;56897;35429;74.7;73.2;45.6
10;1;2022-01-13;112524;110692;67675;75.0;73.7;45.1
10;2;2022-01-13;121631;120008;77993;76.1;75.1;48.8
11;1;2022-01-13;135879;132928;80105;75.9;74.3;44.8
11;2;2022-01-13;148128;145310;91253;76.5;75.0;47.1
12;1;2022-01-13;105452;103435;62469;76.8;75.3;45.5
12;2;2022-01-13;111111;109475;70529;78.8;77.6;50.0
13;1;2022-01-13;696513;678645;382809;71.6;69.8;39.4
13;2;2022-01-13;764707;747075;438534;72.0;70.4;41.3
14;1;2022-01-13;273716;269155;167850;82.6;81.2;50.6
14;2;2022-01-13;297945;294185;198127;82.8;81.7;55.0
15;1;2022-01-13;56570;55853;35983;81.0;80.0;51.5
15;2;2022-01-13;60681;60026;41132;83.1;82.2;56.4
16;1;2022-01-13;135425;133136;79641;80.5;79.1;47.3
16;2;2022-01-13;146298;144305;92537;81.3;80.2;51.4
17;1;2022-01-13;261572;256983;154130;84.6;83.1;49.9
17;2;2022-01-13;286691;282622;180800;84.8;83.6;53.5
18;1;2022-01-13;114363;112473;68411;79.7;78.4;47.7
18;2;2022-01-13;123990;122306;79806;81.1;80.0;52.2
19;1;2022-01-13;92218;90651;56017;79.1;77.7;48.0
19;2;2022-01-13;99851;98434;65132;80.7;79.6;52.6
21;1;2022-01-13;199076;195845;118479;77.7;76.4;46.2
21;2;2022-01-13;215178;212376;137388;77.8;76.8;49.7
22;1;2022-01-13;242391;238168;148517;84.3;82.9;51.7
22;2;2022-01-13;262008;258376;174130;84.9;83.7;56.4
23;1;2022-01-13;43771;42979;27502;77.5;76.1;48.7
23;2;2022-01-13;46858;46100;31730;78.4;77.1;53.1
24;1;2022-01-13;156815;153614;95248;79.6;77.9;48.3
