dep;vaccin;jour;n_tot_dose1;n_tot_dose2;n_tot_dose3;n_tot_dose4;n_tot_rappel
01;1;2022-01-13;394602;375086;172428;613;195646
01;2;2022-01-13;34299;40320;69374;206;79346
01;3;2022-01-13;36664;27941;43;0;8
01;4;2022-01-13;8266;43;1;0;15
02;1;2022-01-13;320168;308287;159959;435;173419
02;2;2022-01-13;43695;47968;59481;219;68359
02;3;2022-01-13;38429;31838;36;0;9
02;4;2022-01-13;9442;24;1;0;4
03;1;2022-01-13;209800;204676;107932;274;113747
03;2;2022-01-13;29784;33054;52620;139;57307
03;3;2022-01-13;21434;17043;14;0;5
03;4;2022-01-13;4948;11;0;0;1
04;1;2022-01-13;93553;89687;49639;86;53854
04;2;2022-01-13;10368;10742;12392;34;14231
04;3;2022-01-13;10110;8191;9;0;7
04;4;2022-01-13;2930;7;0;0;2
05;1;2022-01-13;87407;81963;36642;92;40500
05;2;2022-01-13;8605;9905;20595;76;23326
05;3;2022-01-13;9785;7892;14;0;3
05;4;2022-01-13;1925;7;1;0;3
06;1;2022-01-13;634748;600315;319646;1003;348026
06;2;2022-01-13;121528;125298;137602;262;156021
06;3;2022-01-13;64336;47535;67;0;67
06;4;2022-01-13;20329;254;40;1;174
07;1;2022-01-13;183018;177693;102092;245;112304
07;2;2022-01-13;33940;35047;31078;119;35358
07;3;2022-01-13;20838;16809;29;0;6
07;4;2022-01-13;5780;10;3;0;3
08;1;2022-01-13;166033;160779;83171;236;89558
08;2;2022-01-13;19208;22169;36772;99;41381
08;3;2022-01-13;20779;16448;7;0;3
08;4;2022-01-13;4144;13;0;0;2
09;1;2022-01-13;87060;84581;49511;83;51517
09;2;2022-01-13;15717;15962;14286;41;15601
09;3;2022-01-13;7254;5713;1;0;1
09;4;2022-01-13;2452;6;0;0;1
10;1;2022-01-13;182263;175144;85174;259;90259
10;2;2022-01-13;29551;32838;49969;83;55402
10;3;2022-01-13;17648;13790;6;0;5
10;4;2022-01-13;4536;14;3;0;3
11;1;2022-01-13;221054;215003;120150;213;126346
11;2;2022-01-13;29263;31219;40632;83;44986
11;3;2022-01-13;25704;21403;18;0;6
11;4;2022-01-13;7965;42;3;0;15
12;1;2022-01-13;171822;166579;95579;174;100359
12;2;2022-01-13;25543;26443;29927;64;32626
12;3;2022-01-13;15378;12793;15;0;8
12;4;2022-01-13;3777;22;0;0;2
13;1;2022-01-13;1147238;1074978;615019;1896;677626
13;2;2022-01-13;191657;184531;122648;368;143342
13;3;2022-01-13;90185;69307;105;0;97
13;4;2022-01-13;31892;317;68;0;222
14;1;2022-01-13;432501;427499;228875;543;242531
14;2;2022-01-13;67534;74133;113965;320;123402
14;3;2022-01-13;59785;46597;25;0;10
14;4;2022-01-13;11702;32;2;0;7
15;1;2022-01-13;92493;92124;55666;143;57945
15;2;2022-01-13;10469;11427;17498;75;19161
15;3;2022-01-13;11575;9598;8;0;4
15;4;2022-01-13;2673;1;0;0;0
16;1;2022-01-13;217593;215082;108377;402;113509
16;2;2022-01-13;32076;34833;54187;133;58660
16;3;2022-01-13;24949;21074;19;0;3
16;4;2022-01-13;7039;15;2;0;4
17;1;2022-01-13;410653;409712;213136;754;222438
17;2;2022-01-13;64633;70116;103878;264;112443
17;3;2022-01-13;55885;46853;59;0;27
17;4;2022-01-13;17030;26;2;0;7
18;1;2022-01-13;186045;181646;100942;347;107018
18;2;2022-01-13;29509;31644;36546;137;41187
