dep;jour;n_dose1;n_complet;n_rappel;n_cum_dose1;n_cum_complet;n_cum_rappel;couv_dose1;couv_complet;couv_rappel
01;2020-12-27;0;0;0;0;0;0;0.0;0.0;0.0
01;2020-12-28;0;0;0;0;0;0;0.0;0.0;0.0
01;2020-12-29;0;0;0;0;0;0;0.0;0.0;0.0
01;2020-12-30;0;0;0;0;0;0;0.0;0.0;0.0
01;2020-12-31;0;0;0;0;0;0;0.0;0.0;0.0
01;2021-01-01;0;0;0;0;0;0;0.0;0.0;0.0
01;2021-01-02;0;0;0;0;0;0;0.0;0.0;0.0
01;2021-01-03;0;0;0;0;0;0;0.0;0.0;0.0
01;2021-01-04;0;0;0;0;0;0;0.0;0.0;0.0
01;2021-01-05;11;2;0;11;2;0;0.0;0.0;0.0
01;2021-01-06;21;0;0;32;2;0;0.0;0.0;0.0
01;2021-01-07;113;0;0;145;2;0;0.0;0.0;0.0
01;2021-01-08;234;0;0;379;2;0;0.1;0.0;0.0
01;2021-01-09;30;1;0;409;3;0;0.1;0.0;0.0
01;2021-01-10;0;0;0;409;3;0;0.1;0.0;0.0
01;2021-01-11;224;0;0;633;3;0;0.1;0.0;0.0
01;2021-01-12;408;1;0;1041;4;0;0.2;0.0;0.0
01;2021-01-13;535;1;0;1576;5;0;0.3;0.0;0.0
01;2021-01-14;639;6;0;2215;11;0;0.4;0.0;0.0
01;2021-01-15;536;4;0;2751;15;0;0.5;0.0;0.0
01;2021-01-16;222;0;0;2973;15;0;0.5;0.0;0.0
01;2021-01-17;127;0;0;3100;15;0;0.6;0.0;0.0
01;2021-01-18;529;5;0;3629;20;0;0.7;0.0;0.0
01;2021-01-19;1103;3;0;4732;23;0;0.9;0.0;0.0
01;2021-01-20;1349;4;0;6081;27;0;1.1;0.0;0.0
01;2021-01-21;1225;8;0;7306;35;0;1.3;0.0;0.0
01;2021-01-22;828;3;0;8134;38;0;1.5;0.0;0.0
01;2021-01-23;283;2;0;8417;40;0;1.5;0.0;0.0
01;2021-01-24;72;1;0;8489;41;0;1.5;0.0;0.0
01;2021-01-25;636;2;0;9125;43;0;1.6;0.0;0.0
01;2021-01-26;814;5;0;9939;48;0;1.8;0.0;0.0
01;2021-01-27;664;15;0;10603;63;0;1.9;0.0;0.0
01;2021-01-28;754;81;0;11357;144;0;2.0;0.0;0.0
01;2021-01-29;690;140;0;12047;284;0;2.2;0.1;0.0
01;2021-01-30;229;14;0;12276;298;0;2.2;0.1;0.0
01;2021-01-31;57;0;0;12333;298;0;2.2;0.1;0.0
01;2021-02-01;522;130;0;12855;428;0;2.3;0.1;0.0
01;2021-02-02;528;230;0;13383;658;0;2.4;0.1;0.0
01;2021-02-03;450;325;0;13833;983;0;2.5;0.2;0.0
01;2021-02-04;548;484;0;14381;1467;0;2.6;0.3;0.0
01;2021-02-05;471;337;0;14852;1804;0;2.7;0.3;0.0
01;2021-02-06;266;139;0;15118;1943;0;2.7;0.3;0.0
01;2021-02-07;6;103;0;15124;2046;0;2.7;0.4;0.0
01;2021-02-08;556;469;0;15680;2515;0;2.8;0.5;0.0
01;2021-02-09;810;907;0;16490;3422;0;3.0;0.6;0.0
01;2021-02-10;889;766;0;17379;4188;0;3.1;0.8;0.0
01;2021-02-11;852;884;0;18231;5072;0;3.3;0.9;0.0
01;2021-02-12;701;608;0;18932;5680;0;3.4;1.0;0.0
01;2021-02-13;201;175;0;19133;5855;0;3.4;1.1;0.0
01;2021-02-14;6;12;0;19139;5867;0;3.4;1.1;0.0
01;2021-02-15;447;534;0;19586;6401;0;3.5;1.2;0.0
01;2021-02-16;656;498;0;20242;6899;0;3.6;1.2;0.0
01;2021-02-17;534;390;0;20776;7289;0;3.7;1.3;0.0
01;2021-02-18;610;638;0;21386;7927;0;3.8;1.4;0.0
01;2021-02-19;601;332;0;21987;8259;0;4.0;1.5;0.0
01;2021-02-20;170;136;0;22157;8395;0;4.0;1.5;0.0
01;2021-02-21;2;0;0;22159;8395;0;4.0;1.5;0.0
01;2021-02-22;462;639;0;22621;9034;0;4.1;1.6;0.0
01;2021-02-23;484;669;0;23105;9703;0;4.2;1.7;0.0
01;2021-02-24;448;534;0;23553;10237;0;4.2;1.8;0.0
01;2021-02-25;838;695;0;24391;10932;0;4.4;2.0;0.0
01;2021-02-26;970;591;0;25361;11523;0;4.6;2.1;0.0
01;2021-02-27;449;111;0;25810;11634;0;4.6;2.1;0.0
01;2021-02-28;29;8;0;25839;11642;0;4.6;2.1;0.0
01;2021-03-01;651;505;0;26490;12147;0;4.8;2.2;0.0
01;2021-03-02;1065;590;0;27555;12737;0;5.0;2.3;0.0
01;2021-03-03;1070;673;0;28625;13410;0;5.2;2.4;0.0
01;2021-03-04;1380;664;0;30005;14074;0;5.4;2.5;0.0
01;2021-03-05;1517;548;0;31522;14622;0;5.7;2.6;0.0
01;2021-03-06;874;118;0;32396;14740;0;5.8;2.7;0.0
01;2021-03-07;97;3;0;32493;14743;0;5.8;2.7;0.0
01;2021-03-08;846;729;0;33339;15472;0;6.0;2.8;0.0
01;2021-03-09;1517;655;0;34856;16127;0;6.3;2.9;0.0
01;2021-03-10;1316;632;0;36172;16759;0;6.5;3.0;0.0
01;2021-03-11;1919;720;0;38091;17479;0;6.9;3.1;0.0
01;2021-03-12;2331;749;0;40422;18228;0;7.3;3.3;0.0
01;2021-03-13;1683;97;0;42105;18325;0;7.6;3.3;0.0
01;2021-03-14;280;59;0;42385;18384;0;7.6;3.3;0.0
01;2021-03-15;1278;474;0;43663;18858;0;7.9;3.4;0.0
01;2021-03-16;1224;560;0;44887;19418;0;8.1;3.5;0.0
01;2021-03-17;1111;361;0;45998;19779;0;8.3;3.6;0.0
01;2021-03-18;1491;552;0;47489;20331;0;8.5;3.7;0.0
01;2021-03-19;1891;580;0;49380;20911;0;8.9;3.8;0.0
01;2021-03-20;1448;108;0;50828;21019;0;9.1;3.8;0.0
01;2021-03-21;148;12;0;50976;21031;0;9.2;3.8;0.0
01;2021-03-22;1639;535;0;52615;21566;0;9.5;3.9;0.0
01;2021-03-23;2324;657;0;54939;22223;0;9.9;4.0;0.0
01;2021-03-24;1734;487;0;56673;22710;0;10.2;4.1;0.0
01;2021-03-25;3015;660;0;59688;23370;0;10.7;4.2;0.0
01;2021-03-26;3035;590;0;62723;23960;0;11.3;4.3;0.0
01;2021-03-27;1345;144;0;64068;24104;0;11.5;4.3;0.0
01;2021-03-28;79;9;0;64147;24113;0;11.5;4.3;0.0
01;2021-03-29;1932;650;0;66079;24763;0;11.9;4.5;0.0
01;2021-03-30;2539;831;0;68618;25594;0;12.3;4.6;0.0
01;2021-03-31;1970;808;0;70588;26402;0;12.7;4.8;0.0
01;2021-04-01;2722;946;0;73310;27348;0;13.2;4.9;0.0
01;2021-04-02;2921;834;0;76231;28182;0;13.7;5.1;0.0
01;2021-04-03;1357;214;0;77588;28396;0;14.0;5.1;0.0
01;2021-04-04;247;34;0;77835;28430;0;14.0;5.1;0.0
01;2021-04-05;1317;83;0;79152;28513;0;14.2;5.1;0.0
01;2021-04-06;2782;965;0;81934;29478;0;14.7;5.3;0.0
01;2021-04-07;2738;912;0;84672;30390;0;15.2;5.5;0.0
01;2021-04-08;3380;1206;0;88052;31596;0;15.8;5.7;0.0
01;2021-04-09;4033;1506;0;92085;33102;0;16.6;6.0;0.0
01;2021-04-10;1752;361;0;93837;33463;0;16.9;6.0;0.0
01;2021-04-11;156;109;0;93993;33572;0;16.9;6.0;0.0
01;2021-04-12;2728;1342;0;96721;34914;0;17.4;6.3;0.0
01;2021-04-13;2887;1548;0;99608;36462;0;17.9;6.6;0.0
01;2021-04-14;3037;1289;0;102645;37751;0;18.5;6.8;0.0
01;2021-04-15;3141;1552;0;105786;39303;0;19.0;7.1;0.0
01;2021-04-16;2982;1605;0;108768;40908;0;19.6;7.4;0.0
01;2021-04-17;1747;728;0;110515;41636;0;19.9;7.5;0.0
01;2021-04-18;166;61;0;110681;41697;0;19.9;7.5;0.0
01;2021-04-19;2240;1665;0;112921;43362;0;20.3;7.8;0.0
01;2021-04-20;2638;1669;0;115559;45031;0;20.8;8.1;0.0
01;2021-04-21;2728;1522;0;118287;46553;0;21.3;8.4;0.0
01;2021-04-22;2932;1768;0;121219;48321;0;21.8;8.7;0.0
01;2021-04-23;2861;1607;0;124080;49928;0;22.3;9.0;0.0
01;2021-04-24;1338;590;0;125418;50518;0;22.6;9.1;0.0
01;2021-04-25;142;31;0;125560;50549;0;22.6;9.1;0.0
01;2021-04-26;2116;1808;0;127676;52357;0;23.0;9.4;0.0
01;2021-04-27;2654;1657;0;130330;54014;0;23.4;9.7;0.0
01;2021-04-28;2645;1596;0;132975;55610;0;23.9;10.0;0.0
01;2021-04-29;2963;1886;0;135938;57496;0;24.5;10.3;0.0
01;2021-04-30;3281;2399;0;139219;59895;0;25.0;10.8;0.0
01;2021-05-01;1372;793;0;140591;60688;0;25.3;10.9;0.0
01;2021-05-02;673;297;0;141264;60985;0;25.4;11.0;0.0
01;2021-05-03;2574;2657;0;143838;63642;0;25.9;11.5;0.0
01;2021-05-04;2717;2815;0;146555;66457;0;26.4;12.0;0.0
01;2021-05-05;3089;2585;0;149644;69042;0;26.9;12.4;0.0
01;2021-05-06;3505;2733;0;153149;71775;0;27.6;12.9;0.0
01;2021-05-07;3635;2895;0;156784;74670;0;28.2;13.4;0.0
01;2021-05-08;1573;940;0;158357;75610;0;28.5;13.6;0.0
01;2021-05-09;1164;253;0;159521;75863;0;28.7;13.6;0.0
01;2021-05-10;2885;3072;0;162406;78935;0;29.2;14.2;0.0
01;2021-05-11;3999;3140;0;166405;82075;0;29.9;14.8;0.0
01;2021-05-12;4073;3115;0;170478;85190;0;30.7;15.3;0.0
01;2021-05-13;3538;1414;0;174016;86604;0;31.3;15.6;0.0
01;2021-05-14;4459;2401;0;178475;89005;0;32.1;16.0;0.0
01;2021-05-15;3042;1446;0;181517;90451;0;32.7;16.3;0.0
01;2021-05-16;1561;223;0;183078;90674;0;32.9;16.3;0.0
01;2021-05-17;3664;2591;0;186742;93265;0;33.6;16.8;0.0
01;2021-05-18;4287;2224;0;191029;95489;0;34.4;17.2;0.0
01;2021-05-19;4451;2069;0;195480;97558;0;35.2;17.6;0.0
01;2021-05-20;4566;2205;0;200046;99763;0;36.0;17.9;0.0
01;2021-05-21;4492;2377;0;204538;102140;0;36.8;18.4;0.0
01;2021-05-22;3201;1028;0;207739;103168;0;37.4;18.6;0.0
01;2021-05-23;1015;137;0;208754;103305;0;37.6;18.6;0.0
01;2021-05-24;2519;472;0;211273;103777;0;38.0;18.7;0.0
01;2021-05-25;3511;2565;0;214784;106342;0;38.6;19.1;0.0
01;2021-05-26;3623;2385;0;218407;108727;0;39.3;19.6;0.0
01;2021-05-27;3956;2332;0;222363;111059;0;40.0;20.0;0.0
01;2021-05-28;3729;2856;0;226092;113915;0;40.7;20.5;0.0
01;2021-05-29;2827;1526;0;228919;115441;0;41.2;20.8;0.0
01;2021-05-30;720;279;0;229639;115720;0;41.3;20.8;0.0
